WARN  i.g.b.wdm.versions.VersionDetector - Error reading commands.properties, using local instead
INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 131.0.6778.108 (resolved driver for Chrome 131)
INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\Code&Care0157\.cache\selenium\chromedriver\win64\131.0.6778.108\chromedriver.exe
INFO  s.a.s.c.CalabasasScraperService - Date filtration applied by date : 09/01/2024 to 09/30/2024
INFO  s.a.s.c.CalabasasScraperService - Total records found for the Henderson city website: 10
INFO  scraper.app.Main - Henderson scraping task completed successfully
INFO  scraper.app.Main - Starting Calabasas scraping task
INFO  s.a.s.calabasas.CalabasasPageScraper - Applying filters with date: Last 30 Days
INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 131.0.6778.108 (resolved driver for Chrome 131)
INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\Code&Care0157\.cache\selenium\chromedriver\win64\131.0.6778.108\chromedriver.exe
INFO  scraper.app.Main - Starting Calabasas scraping task
INFO  s.a.s.calabasas.CalabasasPageScraper - Applying filters with date: Last 30 Days
INFO  s.a.s.calabasas.CalabasasPageScraper - Filters applied successfully
INFO  s.a.s.calabasas.CalabasasPageScraper - Applying filters with date: Last 30 Days
INFO  s.a.s.calabasas.CalabasasPageScraper - Filters applied successfully
INFO  s.a.s.calabasas.CalabasasPageScraper - Fetching records from page 1
INFO  s.a.s.calabasas.CalabasasPageScraper - Fetched 10 records from page 1
INFO  s.a.s.calabasas.CalabasasPageScraper - Opening links from records
INFO  s.a.s.calabasas.CalabasasPageScraper - Fetching records from page 2
INFO  s.a.s.calabasas.CalabasasPageScraper - Fetched 10 records from page 2
INFO  s.a.s.calabasas.CalabasasPageScraper - Opening links from records
INFO  s.a.s.c.CalabasasScraperService - Date filtration applied by date : 09/01/2024 to 09/30/2024
INFO  s.a.s.calabasas.CalabasasPageScraper - Scraping data from tabs
INFO  s.a.s.calabasas.CalabasasPageScraper - Scraping data from tabs
INFO  s.a.s.c.CalabasasScraperService - Date filtration applied by date : 09/01/2024 to 09/30/2024
INFO  s.a.s.calabasas.CalabasasPageScraper - Opened 10 links from page 1
INFO  s.a.s.calabasas.CalabasasPageScraper - Opened 10 links from page 2
INFO  s.a.s.c.CalabasasScraperService - Total records found for the Calabasas city website: 20
INFO  scraper.app.Main - Calabasas scraping task completed successfully
INFO  s.a.s.c.CalabasasScraperService - Total records found for the Henderson city website: 20
INFO  scraper.app.Main - Henderson scraping task completed successfully
INFO  scraper.app.Main - 
Total scraping time: 134
